timestamp,location,source,local_dest,local_avg,remote_dest,remote_avg
1559040909.3853335,lower-level,wireless,192.168.0.1,4.39,142.254.217.53,9.09
1559040919.5273902,lower-level,wireless,192.168.0.1,0.49,142.254.217.53,16.75
1559040929.6446512,lower-level,wireless,192.168.0.1,0.56,142.254.217.53,8.31
1559040939.7712135,lower-level,wireless,192.168.0.1,1.64,142.254.217.53,9.4
1559040949.891723,lower-level,wireless,192.168.0.1,1.18,142.254.217.53,9.07
1559040960.011338,lower-level,wireless,192.168.0.1,0.42,142.254.217.53,8.4
1559040970.1319716,lower-level,wireless,192.168.0.1,1.73,142.254.217.53,8.66
1559040980.2533505,lower-level,wireless,192.168.0.1,0.67,142.254.217.53,8.61
1559040990.3816211,lower-level,wireless,192.168.0.1,1.27,142.254.217.53,10.87
1559041000.5105414,lower-level,wireless,192.168.0.1,1.63,142.254.217.53,10.08
1559041010.6263654,lower-level,wireless,192.168.0.1,3.17,142.254.217.53,8.07
1559041020.7449183,lower-level,wireless,192.168.0.1,0.34,142.254.217.53,8.7
1559041030.8725219,lower-level,wireless,192.168.0.1,0.56,142.254.217.53,11.63
1559041040.9965167,lower-level,wireless,192.168.0.1,1.01,142.254.217.53,9.56
1559041051.1189861,lower-level,wireless,192.168.0.1,1.14,142.254.217.53,9.26
1559041061.237889,lower-level,wireless,192.168.0.1,0.9,142.254.217.53,8.36
1559041071.3827164,lower-level,wireless,192.168.0.1,1.38,142.254.217.53,16.86
1559041081.5039854,lower-level,wireless,192.168.0.1,0.76,142.254.217.53,9.73
1559041091.6253936,lower-level,wireless,192.168.0.1,0.19,142.254.217.53,10.4
1559041101.75318,lower-level,wireless,192.168.0.1,3.22,142.254.217.53,9.14
1559041111.8725379,lower-level,wireless,192.168.0.1,0.71,142.254.217.53,8.25
1559041121.99573,lower-level,wireless,192.168.0.1,1.9,142.254.217.53,9.53
1559041132.1242085,lower-level,wireless,192.168.0.1,0.52,142.254.217.53,11.6
1559041142.2455835,lower-level,wireless,192.168.0.1,2.4,142.254.217.53,8.11
1559041152.3659532,lower-level,wireless,192.168.0.1,0.39,142.254.217.53,9.03
1559041162.4846413,lower-level,wireless,192.168.0.1,1.56,142.254.217.53,9.06
1559041172.607633,lower-level,wireless,192.168.0.1,0.75,142.254.217.53,9.05
1559041182.7284927,lower-level,wireless,192.168.0.1,0.49,142.254.217.53,9.1
1559041192.9510076,lower-level,wireless,192.168.0.1,25.01,142.254.217.53,10.3
1559041203.0847003,lower-level,wireless,192.168.0.1,0.35,142.254.217.53,13.65
1559041213.22051,lower-level,wireless,192.168.0.1,0.6,142.254.217.53,13.84
1559041223.7912226,lower-level,wireless,192.168.0.1,4.26,142.254.217.53,159.16
1559041233.91234,lower-level,wireless,192.168.0.1,0.33,142.254.217.53,8.97
1559041244.04726,lower-level,wireless,192.168.0.1,0.52,142.254.217.53,14.21
1559041254.273524,lower-level,wireless,192.168.0.1,29.1,142.254.217.53,11.74
1559041264.3939214,lower-level,wireless,192.168.0.1,0.46,142.254.217.53,9.22
1559041274.5177326,lower-level,wireless,192.168.0.1,0.17,142.254.217.53,9.1
1559041284.6414871,lower-level,wireless,192.168.0.1,0.61,142.254.217.53,9.36
1559041294.7659497,lower-level,wireless,192.168.0.1,1.59,142.254.217.53,8.85
1559041304.8947492,lower-level,wireless,192.168.0.1,2.13,142.254.217.53,11.48
1559041315.0129263,lower-level,wireless,192.168.0.1,0.3,142.254.217.53,6.3
1559041325.1319325,lower-level,wireless,192.168.0.1,0.35,142.254.217.53,8.71
1559041335.259105,lower-level,wireless,192.168.0.1,3.55,142.254.217.53,8.19
1559041345.3838077,lower-level,wireless,192.168.0.1,1.51,142.254.217.53,9.32
1559041355.5261135,lower-level,wireless,192.168.0.1,0.76,142.254.217.53,16.45
1559041365.645289,lower-level,wireless,192.168.0.1,0.17,142.254.217.53,8.56
1559041375.8801441,lower-level,wireless,192.168.0.1,1.33,142.254.217.53,41.31
1559041386.00973,lower-level,wireless,192.168.0.1,2.14,142.254.217.53,9.4
1559041396.1458018,lower-level,wireless,192.168.0.1,0.72,142.254.217.53,10.08
1559041406.262653,lower-level,wireless,192.168.0.1,0.47,142.254.217.53,9.36
1559041416.3844688,lower-level,wireless,192.168.0.1,1.05,142.254.217.53,9.28
1559041426.5080822,lower-level,wireless,192.168.0.1,0.83,142.254.217.53,10.28
1559041436.6601396,lower-level,wireless,192.168.0.1,0.82,142.254.217.53,8.26
1559041446.7811103,lower-level,wireless,192.168.0.1,0.32,142.254.217.53,8.27
1559041456.9037924,lower-level,wireless,192.168.0.1,1.38,142.254.217.53,9.18
1559041467.0214882,lower-level,wireless,192.168.0.1,0.54,142.254.217.53,8.95
