timestamp,location,source,local_dest,local_avg,remote_dest,remote_avg
1559041003.6458035,lower-level,ethernet,192.168.0.1,0.19,142.254.217.53,8.14
1559041013.7480857,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.75
1559041023.8611343,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.68
1559041033.9620373,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.08
1559041044.0642755,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.2
1559041054.1652453,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.21
1559041064.2685282,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.21
1559041074.371011,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,8.39
1559041084.4753175,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.5
1559041094.578494,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.21
1559041104.6925304,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,12.39
1559041114.7951128,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.84
1559041124.8982913,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.15
1559041134.9978838,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.56
1559041145.0983522,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,7.64
1559041155.1981854,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.91
1559041165.3035097,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.74
1559041175.4241812,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,10.9
1559041185.5299232,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.2
1559041195.6263404,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.73
1559041205.740989,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,12.07
1559041215.8568635,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,16.01
1559041226.1188576,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,61.19
1559041236.2247863,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.82
1559041246.3276122,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.31
1559041256.4322188,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.7
1559041266.543862,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.52
1559041276.646195,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.8
1559041286.7493544,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.83
1559041296.8551989,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.18
1559041306.9556696,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.98
1559041317.060525,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.84
1559041327.1556537,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.61
1559041337.258655,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,7.9
1559041347.3550377,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.53
1559041357.4579382,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.99
1559041367.571153,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.95
1559041377.6741812,lower-level,ethernet,192.168.0.1,0.18,142.254.217.53,8.44
1559041387.7768855,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.22
1559041397.875834,lower-level,ethernet,192.168.0.1,0.14,142.254.217.53,8.39
1559041407.980028,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.65
1559041418.0821972,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.2
1559041428.190045,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.52
1559041438.2988079,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,10.34
1559041448.402153,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.72
1559041458.5083537,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.18
1559041468.6128387,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.42
1559041478.7150776,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,8.11
1559041488.8199224,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.94
1559041498.9248304,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.93
1559041509.033204,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.48
1559041519.1399856,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.01
1559041529.2444215,lower-level,ethernet,192.168.0.1,0.26,142.254.217.53,8.77
1559041539.3497632,lower-level,ethernet,192.168.0.1,0.16,142.254.217.53,8.31
1559041549.451954,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.97
1559041559.5612123,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.79
1559041569.662115,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.87
1559041579.764016,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.08
1559041589.8671544,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.26
1559041599.970453,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.45
1559041610.0732257,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.31
1559041620.1757193,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.98
1559041630.2796247,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.34
1559041640.3808343,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.23
1559041650.485381,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.27
1559041660.5850234,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.45
1559041670.6882868,lower-level,ethernet,192.168.0.1,0.25,142.254.217.53,8.93
1559041680.7887464,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.94
1559041690.8914049,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.14
1559041700.9954531,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.21
1559041711.0957267,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.83
1559041721.1917253,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.93
1559041731.2964807,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.78
1559041741.4030387,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.26
1559041751.5225785,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,13.7
1559041761.6356745,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,11.12
1559041771.7352858,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.79
1559041781.847314,lower-level,ethernet,192.168.0.1,0.19,142.254.217.53,8.69
1559041791.949234,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.23
1559041802.0512984,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.24
1559041812.1540306,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.25
1559041822.2565317,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.37
1559041832.357896,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.83
1559041842.467414,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,10.41
1559041852.5704272,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.0
1559041862.6702154,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,7.46
1559041872.7721195,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.0
1559041882.8777065,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.48
1559041893.0047557,lower-level,ethernet,192.168.0.1,5.78,142.254.217.53,10.47
1559041903.1194525,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,12.65
1559041913.2222974,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.01
1559041923.3250036,lower-level,ethernet,192.168.0.1,0.17,142.254.217.53,8.22
1559041933.4379742,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.87
1559041943.5437872,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.42
1559041953.6479733,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.83
1559041963.7494273,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.14
1559041973.8503983,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.15
1559041983.9559922,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,9.37
1559041994.0594993,lower-level,ethernet,192.168.0.1,0.15,142.254.217.53,8.08
